species,sex,ID,color_band,trt,section,site,date,year,nest,age,stage,light,lux,LAeq,LZeq,LAF90,LAeq_N,mass,tarsus,wing,tail,eye,bill.l,bill.tn,bill.d,bill.w,muscle,fat,cp_score,measurer,nb_date,egg_date,,
MOBL,F,3241-54844,GS-OK,Light,red,PC13,5/6/26,2026,PC13B2,SY,Eggs,Y,0.06,35,65.9,33.5,,28.21,21.5,107,68,5.2,11.8,10,4.6,5,2,2,,TV,4/19/26,4/24/26,,
MOBL,F,3271-43482,MR-RS,Light,orange,TP04,5/27/26,2026,TP04B11,SY,Eggs,Y,0.79,29,76.7,23.8,,31.73,23,113,69,5.1,13.2,11.7,4.2,5.4,2,1,,TV,5/10/26,5/13/26,,
MOBL,F,3241-54791,BS-KO,Noise,red,PT15,5/19/26,2026,PT15B8,ASY,Eggs,N,0,39.5,60.7,37.4,,30.35,22.3,106,63,5.5,13.4,10.8,4.6,4.5,2,0,0,TP,5/2/26,5/9/26,,
WEBL,F,2791-95508,,Light+Noise,orange,TP04,5/5/18,2018,TP04B2,AHY,Eggs,Y,0,50.8,,,50.8,31.2,20.1,99,,,11.4,,,4.1,,2,,JP,,4/27/18,,
WEBL,M,2771-10677,,Light,blue,CP02,5/15/19,2019,CP02B9,AHY,Chx,Y,1.57,35.1,,,35.1,27,20.7,109,,,11.1,,4.3,4.7,,1,0,CAL,4/17/19,4/27/19,,
WEBL,M,2771-10678,,Light+Noise,blue,TP02,5/15/19,2019,TP02B7,AHY,Chx,Y,0.25,37.2,,,37.2,,21.5,109,,,10.9,,4,5.1,,3,0,CAL,4/5/19,4/27/19,,
WEBL,F,2791-95547,,Light,yellow,CP12,5/21/19,2019,CP12B6,AHY,Eggs,Y,0,44.4,,,44.4,29.2,18.3,100,,,11.5,,3.9,5.5,,2,0,JP,4/24/19,5/6/19,,
WEBL,F,2791-95553,,Noise,green,TP05,5/25/19,2019,TP05B4,AHY,Chx,N,0,53.3,,,53.3,29,20,101,,,11.2,,4.2,4.8,,2,0,JP,4/24/19,5/3/19,,
WEBL,F,2941-04021,,Light+Noise,pink,TP09,6/9/21,2021,TP09B4,AHY,Chx,Y,0,46.67,,,46.67,24.4,20.5,99,,,11.1,,4.1,5.1,,1,0,JP,5/10/21,5/15/21,,
WEBL,M,2941-04078,,Control,blue,TP01,7/7/21,2021,TP01B06,AHY,Chx,N,0,36,,,36,26.4,20.4,109,,,12.3,,4,5.2,,1,3,JP,,6/16/21,,
WEBL,F,2791-95483,,Noise,orange,PT3,5/23/21,2021,PT3B5,AHY,Eggs,N,0,39.1,,,39.1,29,19.1,101,,,,,,,,2,0,JP,5/2/21,5/11/21,,
WEBL,F,2791-95475,,Light,green,PC6,5/13/21,2021,PC6B06,AHY,Eggs,Y,1.09,37.3,,,37.3,32,21.3,106,,,16.4,,4.4,3.2,,2,0,MM,4/26/21,5/3/21,,
WEBL,F,2791-95473,,Light,yellow,CP12,5/11/21,2021,CP12B9,AHY,Eggs,Y,0.16,40.97,,,41,27.6,21.4,107,,,15.5,,5,3.5,,1,0,WBD,4/23/21,5/1/21,,
WEBL,F,2941-13548,WS-BW,Light,orange,CP04,4/29/24,2024,CP04B3,AHY,TE,Y,0.93,36.6,76.5,32,36.6,28,18.8,99.2,62,6.45,16.1,14.6,6.05,9.25,2,2,,JP,4/22/24,,,
WEBL,F,2821-25074,OO-OS,Light,blue,CP02,6/20/24,2024,CP02B09,AHY,Chx,Y,0,38.1,75.3,36.4,38.1,24,21,100,61,5.8,12.2,10.2,4.6,5.65,2,1,,JP,4/21/24,5/3/24,,
WEBL,M,3011-18002,OS-RR,Light,blue,CP02,6/20/24,2024,CP02B8,AHY,Chx,Y,0,38.1,75.3,36.4,38.1,22.5,18.1,104.5,71,5.79,12,10.05,4.5,6.45,2,1,,JP,5/17/24,5/22/24,,
WEBL,M,,GG-GG,Light,green,PC6,6/18/24,2024,PC6B7,AHY,Chx,Y,0.6,36.6,68.5,33.4,36.6,23.2,,,,,,,,,2,1,,JP,5/11/24,5/15/24,,
WEBL,F,2941-73549,GS-GG,Light,green,PC6,5/2/24,2024,PC6B08,AHY,Eggs,Y,0.41,35,67.6,33.5,35,30.74,19.7,104,61,6.1,10.5,9.4,4,5.7,2,2,,JP,4/19/24,4/27/24,,
WEBL,F,2821-25072,YY-RS,Control,orange,CP06,5/8/24,2024,CP06B5,AHY,Eggs,N,0,32.6,66.3,30,32.6,26.5,20.6,105,67,5.3,11,9.2,4.1,5.5,3,0,,SL,4/15/24,4/26/24,,
WEBL,F,2821-25074,OO-OS,Light,blue,CP02,5/14/24,2024,CP02B9,AHY,Eggs,Y,1.34,32.8,70.5,30.8,32.8,28.5,21,103.5,68,6,12.25,9.7,3.95,4.95,3,0,,SL,4/21/24,5/3/24,,
WEBL,M,2821-25065,WB-YS,Light,yellow,CP12,4/20/24,2024,CP12B9,AHY,TE,Y,0.31,37.2,65.4,32.1,37.2,24,19.4,106,65,6.1,10.9,8.6,4,4.6,1,0,,SL,4/11/24,5/3/24,,
WEBL,M,2821-25067,GY-RS,Light+Noise,yellow,PT11,4/21/24,2024,PT11B05,AHY,TE,Y,0.26,40.5,76.2,39.2,,26.5,21.2,115,64,5.8,11.1,9.3,4,4.7,1,1,,SL,4/11/24,,,
WEBL,M,2821-25068,WB-OS,Light,green,PC6,4/22/24,2024,,AHY,TE,Y,1.2,32,65.1,25,,26,21.3,109,67,5.5,12.8,9.3,4.2,5.8,1,1,,SL,,,,
WEBL,M,2941-73552,WW-WS,Light,yellow,CP12,5/31/24,2024,CP12B14,AHY,Chx,Y,0.25,37.2,65.4,32.1,37.2,24.45,21,105,67,6.2,12.7,8.8,4.5,4.4,1,0,,TP,5/1/24,5/8/24,,
WEBL,F,2821-25075,KB-OS,Light,yellow,CP12,5/16/24,2024,CP12B9,AHY,Eggs,Y,0.31,37.2,65.4,32.1,37.2,26.2,21,106,71,6.5,12.4,10.9,4.4,4.5,2,0,,TP,4/11/24,5/3/24,,
WEBL,F,2821-25100,YY-OS,Light+Noise,pink,TP09,5/30/24,2024,TP09B15,AHY,Chx,Y,0,44.4,75,43,44.4,24.99,21.8,105,73,7.2,10.1,8.8,4.7,4.8,1,0,,TP,4/23/24,5/10/24,,
WEBL,M,2941-73599,GG-RS,Light,blue,CP02,6/21/24,2024,CP02B1,AHY,Chx,Y,0.19,28.8,63.6,26.6,28.8,24.6,22.5,106,78,6.5,12.3,8.9,5,5.6,1,0,,TP,5/7/24,5/23/24,,
WEBL,M,3241-54709,RW-KS,Light,green,PC6,5/28/25,2025,PC6B3,SY,Chx,Y,0.01,27.1,58.3,26.1,29.42,24.14,19,108,73,4.8,11.5,9.2,4.2,4.6,2,0,3,AR,5/1/25,5/11/25,,
WEBL,F,3241-54804,OS-WR,Noise,green,TP05,5/25/25,2025,TP05B5,SY,Eggs,N,0,45.9,70.5,44.6,42.68,28,18.9,101,63,5,13,10.3,4.1,4.8,2,0,0,AR,5/10/25,5/13/25,,
WEBL,F,3011-18045,GG-GS,Control,orange,CP06,6/10/25,2025,CP06B8,ASY,Eggs,N,0,26.5,67.1,23.3,27.3,27.76,22.7,107.5,64,5.1,11.5,9.5,4.1,4.9,2,2,0,CM,5/27/25,5/29/25,,
WEBL,F,3011-18065,OR-KS,Light+Noise,green,TP07,5/29/25,2025,TP07B14,SY,Eggs,Y,0.41,30.6,67.5,26.1,32.52,26.48,22.2,102,67,4.7,12,9.7,4.2,4.8,3,1,0,CM,5/1/25,5/15/25,,
WEBL,F,3011-18093,BS-RR,Light,blue,CP02,5/19/25,2025,CP02B5,AHY,Eggs,Y,0.45,39,76.1,36.8,39.68,26.89,,,,,,,,,2,0,,CM,4/21/25,5/3/25,,
WEBL,F,3241-54854,BS-WG,Light+Noise,pink,TP09,6/12/25,2025,TP09B13,AHY,Chx,Y,0.45,48,78,46.6,49.18,25.13,21.4,104,65,4.8,12.6,10.6,4.2,4.5,2,0,0,CM,4/20/25,5/15/25,,
WEBL,F,3011-18067,RO-BS,Noise,orange,PT3,5/28/25,2025,PT3B10,SY,Eggs,N,0,51.5,71,55,41.98,26.37,21.5,102,63,5.5,11.4,9.6,4,4.7,2,0,0,CM,4/24/25,5/13/25,,
WEBL,M,3241-54705,GS-BB,Noise,green,TP05,5/25/25,2025,TP05B5,AHY,Eggs,N,0,40.4,70.7,38.8,42.68,25.99,20.8,110,69,6,11.1,7.7,4.5,5.9,2,0,3,EM,5/10/25,5/13/25,,
WEBL,F,3011-18035,OO-GS,Control,orange,TP06,5/14/25,2025,TP06B9,SY,Eggs,N,0,35.1,63.1,,35.1,27.66,18.3,100.2,64,6,11.9,9.3,4.4,5.7,3,2,,JP,,,,
WEBL,F,3011-18015,OS-GR,Light+Noise,blue,TP02,5/16/25,2025,TP02B15,SY,Eggs,Y,1.4,36.3,78.7,30.3,32.58,25.87,17.1,102,63,4.8,11.2,8.8,3.8,4.6,2,0,0,TP,4/21/25,4/28/25,,
WEBL,M,3011-18010,OS-KY,Light,blue,CP02,5/19/25,2025,CP02B5,ASY,Eggs,Y,0.45,39,76.1,36.8,39.68,27.66,20.3,113,71,5.7,11.6,8.8,4.1,4.9,2,0,3,TP,4/21/25,5/3/25,,
WEBL,F,3011-18093,BS-RR,Light,blue,CP02,4/24/25,2025,CP02B5,ASY,TE,Y,0.45,41.3,60.3,40.1,39.68,25.34,19.9,105,61,5.1,10.3,8.6,4.1,4.4,3,0,0,TP,4/21/25,5/3/25,,
WEBL,F,3011-18092,BS-OY,Light,yellow,CP12,4/24/25,2025,CP12B10,AHY,TE,Y,0,42.5,64.6,36,37.65,28.02,18.9,101,64,6.2,10.1,8.1,4.1,5,2,1,0,TP,4/16/25,4/27/25,,
WEBL,F,3011-18092,BS-OY,Light,yellow,CP12,5/12/25,2025,CP12B10,AHY,Eggs,Y,0,42.5,64.6,36,37.65,27.32,,,,,,,,,2,0,,TP,4/16/25,4/27/25,,
WEBL,F,3011-18037,GR-GS,Light,yellow,CP12,5/20/25,2025,CP12B8,ASY,Eggs,Y,0,30.2,58.9,24.2,31.4,24.83,19.7,104,67,5.1,12.4,9.2,4.1,4.8,2,1,,TV,4/29/25,5/8/25,,
WEBL,F,3011-18085,WS-OB,Light,yellow,CP12,4/12/25,2025,CP12B6,ASY,Eggs,Y,0,32.5,75.1,30.6,35.05,30.87,19.8,100,69,4.7,11.5,9.4,4.2,4.9,3,0,0,TV,4/5/25,4/12/25,,
WEBL,M,3011-18088,GS-OO,Noise,red,PT15,4/17/25,2025,PT15B8,ASY,TE,N,0,39.8,75.7,36.4,40,24.75,20.6,105,72,4.3,11.6,9.1,4.1,4.5,3,0,2,TV,4/11/25,,,
WEBL,F,2821-25074,OO-OS,Light,blue,CP02,5/21/25,2025,CP02B12,ASY,Eggs,Y,1.02,34.2,61.9,30.2,34.4,27.45,20.5,101.5,66,4.8,13,9.7,4,4.6,3,1,,TV,4/17/25,5/6/25,,
WEBL,M,3011-18084,YS-WW,Light,orange,CP04,4/11/25,2025,CP04B12,ASY,TE,Y,0.99,28.1,69,26.1,39.35,23.34,20.2,111,74,4.5,12.5,9.7,3.8,4.76,2,0,3,TV,4/26/25,5/2/25,,
WEBL,F,3011-18030,BS-OR,Light,red,PC13,5/4/25,2025,PC13B9,ASY,TE,Y,0.63,37,65.4,34,35.2,,19.6,105,67,4.7,13.2,10.2,4,4.6,3,1,,TV,5/8/25,5/14/25,,
WEBL,M,3011-18087,YS-KB,Control,green,CP05,4/15/25,2025,CP05B1,ASY,TE,N,0,25.8,70.6,23.7,39.22,26.53,20.7,112,80,4.5,11.7,9.4,4.1,4.8,3,1,3,TV,4/10/25,4/19/25,,
WEBL,M,3011-18094,YS-GO,Light+Noise,green,TP07,5/1/25,2025,TP07B13,SY,TE,Y,0.21,28.6,68,25.7,32.52,24.01,19.9,106,67,4.3,12.2,10.2,4,4.9,3,0,3,TV,5/1/25,5/15/25,,
WEBL,M,3011-18090,RS-OY,Light+Noise,blue,TP02,4/21/25,2025,TP02B15,ASY,TE,Y,1.4,36.3,78.7,30.3,32.58,26.17,20.1,109,70,4.3,11.7,9,4.2,4.9,3,0,3,TV,4/21/25,4/28/25,,
WEBL,F,3011-18089,YS-KY,Noise,red,PT15,4/17/25,2025,PT15B8,ASY,TE,N,0,39.8,75.7,36.4,40,26.08,20.1,103,68,5,11.9,9.9,4.1,4.5,3,1,0,TV,4/11/25,,,
WEBL,M,2821-25068,WB-OS,Light,green,PC6,4/14/25,2025,PC6B8,ASY,TE,Y,0.54,36.2,73.7,33.7,33.15,26.63,20.6,108,71,4.9,12.3,10,4,5.3,3,0,3,TV,4/17/25,4/29/25,,
WEBL,M,3011-18002,OS-RR,Light,blue,CP02,5/21/25,2025,CP02B12,ASY,Eggs,Y,1.02,34.2,61.9,30.2,34.4,25.76,18.5,110,74,4.9,12.15,9.7,3.9,5.35,3,0,3,TV,4/17/25,5/6/25,,
WEBL,F,3241-54864,YS-BW,Control,red,CP08,4/12/26,2026,CP08B6,AHY,Eggs,N,0,37.1,67.5,35.9,,24.4,19.1,105,72,5.9,11.3,9.1,3.9,3.7,1,0,,PK,,4/2/26,,
WEBL,F,3241-54865,RS-WK,Control,green,CP05,4/12/26,2026,CP05B1,AHY,Eggs,N,0,27.2,60.9,25.1,,26.58,19.8,104,71,5.7,11.7,8.6,3.8,3.7,1,1,,PK,,3/28/26,,
WEBL,M,3241-54734,OR-BS,Control,orange,PT3,4/24/26,2026,,ASY,TE,N,0,28,51.7,22.1,,24.99,19.7,109,71,4.4,12.5,9.5,4.1,3.9,3,0,3,LP,,,,
WEBL,F,3241-54871,MS-GO,Control,orange,CP06,4/30/26,2026,CP06B8,SY,Eggs,N,0,37.1,73.5,28.9,,23.01,19.35,102.5,65,4.7,11.7,9.3,3.8,3.7,3,1,,TV,4/6/26,4/18/26,,
WEBL,M,3241-54876,KS-YR,Control,orange,CP06,4/30/26,2026,CP06B8,ASY,Eggs,N,0,37.1,73.5,28.9,,26.84,20.4,109,67,4.6,11,9.4,3.8,4.3,2,1,3,TV,4/6/26,4/18/26,,
WEBL,F,3241-54879,WS-OY,Control,blue,CP01,5/2/26,2026,CP01B8,ASY,Chx,N,0,36.4,70.1,30.6,,24.87,19.1,105,66,4.8,11.8,9.9,3.9,4.6,2,1,,TV,,4/6/26,,
WEBL,M,3241-54880,WS-KW,Control,blue,CP01,5/2/26,2026,CP01B8,ASY,Chx,N,0,36.4,70.1,30.6,,25.07,19.4,109,67,5.3,11.2,8.5,3.8,4,2,1,3,PK,,4/6/26,,
WEBL,F,3241-54900,BR-OS,Light,yellow,CP12,4/17/26,2026,CP12B1,SY,Eggs,Y,0,40.1,78.2,36.3,,25.06,20.8,101.5,62,4.5,11.8,9.6,3.5,4.6,3,1,,TV,,4/1/26,,
WEBL,F,3241-54867,BS-RK,Light,green,PC6,4/17/26,2026,PC6B9,AHY,Eggs,Y,0,26.6,54.6,24.2,,27.99,20.9,105.5,64,5.15,10.2,7.45,3.95,4.6,2,1,,MT,,4/3/26,,
WEBL,F,3241-54868,RS-OB,Light,green,PC6,4/23/26,2026,PC6B8,ASY,Eggs,Y,0,36.9,72.3,32.9,,31.64,19.9,105.5,66,4.5,10.9,8.5,3.8,4.2,3,0,,TV,4/1/26,4/10/26,,
WEBL,F,2821-25075,KB-OS,Light,yellow,CP12,4/25/26,2026,CP12B6,AHY,Eggs,Y,0,27.3,69.5,25.2,,26.3,19.5,107,68,5.4,11.8,9.3,4.3,3.9,2,0,,PK,4/6/26,4/12/26,,
WEBL,M,3241-54747,RO-RS,Light,orange,CP04,4/30/26,2026,CP04B9,SY,TE,Y,0.1,31.8,72.9,22.6,,26.16,19.5,108,65,4.9,12,8.7,4.2,4.5,3,1,3,PK,4/27/26,5/4/26,,
WEBL,M,3241-54716,BO-BS,Light,yellow,PT11,5/9/26,2026,PT11B7,SY,Eggs,Y,0.79,29.3,65.3,26.9,,24.22,19.6,105,69,5,12.1,9.1,4.5,4.6,2,1,3,PK,4/19/26,5/1/26,,
WEBL,F,3241-54757,RO-KS,Light,yellow,PT11,5/9/26,2026,PT11B7,SY,Eggs,Y,0.79,29.3,65.3,26.9,,28.43,20.5,101,58,5,11.9,9.5,3.9,4.5,3,2,,TV,4/19/26,5/1/26,,
WEBL,F,3241-54804,OS-WR,Noise,green,TP05,4/25/26,2026,TP05B4,ASY,Eggs,N,0,48.9,70.6,47.4,,28.19,18.7,107,67,4.6,11.7,9.9,3.8,4.55,3,1,0,TV,4/3/26,4/13/26,,
